object_id,camp_name,num_employee,employ_others,yes_employ_others,avg_customers,business_type,business_type_clothing,business_type_grocery,business_type_restaurant,business_type_craft,market_condition,market_security,market_depth,cash_food_local,outside_job,competition,income_compare,business_start,sell_food_assistance,sell_food_assistance_yes,customer_locations,customer_locations_camp_change,entrepreneurship_training,training_grow,training_grow_financing,training_grow_training,finances_care,finances_care_underbed,finances_care_remmitances,finances_care_mobile,finances_care_other_text,finances_care_other,business_leave_camp,leave_camp_support_business,id_problem_fequency,ibs,ibs_comm,ibs_saco,ibs_mobile,ibs_microloan,ibs_nobank,key_good_demand_change,x,y,household_money_supply
78,mugombwa,12,noemploy,,20,general,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,no,zero,increased,12/8/2016,no,,districtonly,yes,yes,training,FALSE,TRUE,other,FALSE,FALSE,FALSE,TRUE,saco,yes,daily,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.84996,-2.67515,firewood
79,kigeme,1,noemploy,,35,other/restaurant,FALSE,FALSE,TRUE,FALSE,average,good,house,yes,yes,five,increased,1/12/2016,,,aroundcamp,yes,no,financing,TRUE,FALSE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,daily,daily,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,yes,29.52437,-2.48413,
80,kigeme,1,noemploy,,10,restaurant,FALSE,FALSE,TRUE,FALSE,good,good,house,yes,no,five,decrease,1/1/2017,,,aroundcamp,yes,yes,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,sacco,yes,monthly,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.52358,-2.48614,
81,kigeme,2,noemploy,,30,general,FALSE,FALSE,FALSE,FALSE,poor,average,house,yes,no,five,decrease,1/12/2014,,,aroundcamp,yes,no,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,in small groups,no,weekly,weekly,microloan,FALSE,FALSE,FALSE,TRUE,FALSE,yes,29.52464,-2.48832,
82,kigeme,2,noemploy,,20,general,FALSE,FALSE,FALSE,FALSE,average,average,daily,yes,no,five,decrease,8/22/2016,,,aroundcamp,yes,yes,financing,TRUE,FALSE,underbed,TRUE,FALSE,FALSE,FALSE,,no,daily,frequent,nobank,FALSE,FALSE,FALSE,FALSE,TRUE,yes,29.5245,-2.48826,
83,kigeme,0,yesfamily,2,35,general,FALSE,FALSE,FALSE,FALSE,average,good,house,yes,no,five,decrease,1/18/2017,,,aroundcamp,no,yes,financing,TRUE,FALSE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,daily,daily,microloan,FALSE,FALSE,FALSE,TRUE,FALSE,no,29.5235,-2.48564,
84,kigeme,1,noemploy,,15,general,FALSE,FALSE,FALSE,FALSE,average,average,daily,yes,no,five,increased,########,,,aroundcamp,yes,no,financing,TRUE,FALSE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,weekly,monthly,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,yes,29.52242,-2.48311,
85,kigeme,2,yesfamily,0,20,general,FALSE,FALSE,FALSE,FALSE,average,average,house,yes,no,five,decrease,7/31/2013,,,aroundcamp,yes,yes,financing/training,TRUE,TRUE,other,FALSE,FALSE,FALSE,TRUE,Groups the origsnize money via donations,yes,weekly,monthly,nobank,FALSE,FALSE,FALSE,FALSE,TRUE,yes,29.52252,-2.4826,
86,kigeme,1,noemploy,,40,grocery,FALSE,TRUE,FALSE,FALSE,average,average,daily,no,no,five,remain,5/14/2014,,,districtonly,no,no,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,The consume the profits,no,weekly,monthly,nobank,FALSE,FALSE,FALSE,FALSE,TRUE,no,29.52266,-2.48257,
87,kigeme,2,yesfamily,0,20,general,FALSE,FALSE,FALSE,FALSE,average,average,house,yes,no,three,increased,3/31/2013,,,aroundcamp,yes,yes,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,Put tge money back into the business,yes,weekly,monthly,nobank,FALSE,FALSE,FALSE,FALSE,TRUE,yes,29.52302,-2.48281,
88,kigeme,2,yesfamily,0,35,grocery,FALSE,TRUE,FALSE,FALSE,average,average,house,yes,no,three,increased,5/31/2013,,,aroundcamp,no,yes,financing,TRUE,FALSE,mobilemoney/other,FALSE,FALSE,TRUE,TRUE,Bank account,no,weekly,monthly,microloan/mobile/commbank,TRUE,FALSE,TRUE,TRUE,FALSE,yes,29.52329,-2.48301,
